pid,volume,image_number,head,entry,topic,first_letter,page,add,xref,see,index,item,unparsed,line,selection,full_image,annotation_uri,sort_value,insertion,thumbnail,label,location,issue,also_in_entry
num_3504,Volume 2,440,,4809,Church yard,4801-4825,,,,,<a href='/digital-beehive/index1/index_0663/'>church yard</a>,#item-374e52643,,Entry: 4809|Topic: Church yard|Index: church yard|#item-374e52643,"https://stacks.stanford.edu/image/iiif/fm855tg5659/1607_0907/866,3733,1606,221/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/fm855tg5659/1607_0907/full/full/0/default.jpg,http://beehive-anno.library.upenn.edu/annotation/1680284220527,244013733,,"https://stacks.stanford.edu/image/iiif/fm855tg5659/1607_0907/866,3733,600,180/250,/0/default.jpg",4809. Church yard,<a href='/digital-beehive/toc/toc2_430/'>Full Page</a>,,
num_3505,Volume 2,440,,4810,Old & obsolete words : New fangled words,4801-4825,,,,,<a href='/digital-beehive/index5/index_4609/'>old & new words</a>,#item-7c88149a5,,Entry: 4810|Topic: Old & obsolete words : New fangled words|Index: old & new words|#item-7c88149a5,"https://stacks.stanford.edu/image/iiif/fm855tg5659/1607_0907/806,4260,1644,761/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/fm855tg5659/1607_0907/full/full/0/default.jpg,http://beehive-anno.library.upenn.edu/annotation/1680284331249,244014260,,"https://stacks.stanford.edu/image/iiif/fm855tg5659/1607_0907/806,4260,600,180/250,/0/default.jpg",4810. Old & obsolete words : New fangled words,<a href='/digital-beehive/toc/toc2_430/'>Full Page</a>,The purpose of the symbol drawn below this entry is not clear.,
num_3506,Volume 2,441,,4811,[WORD_MISSING],4801-4825,,,,,<a href='/digital-beehive/index4/index_2881/'>parents</a>,#item-6bc3d7278,,Entry: 4811|Topic: [WORD_MISSING]|Index: parents|#item-6bc3d7278,"https://stacks.stanford.edu/image/iiif/fm855tg5659/1607_0908/535,279,2816,311/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/fm855tg5659/1607_0908/full/full/0/default.jpg,http://beehive-anno.library.upenn.edu/annotation/1680284507766,244110279,,"https://stacks.stanford.edu/image/iiif/fm855tg5659/1607_0908/535,279,600,180/250,/0/default.jpg",4811. [WORD_MISSING],<a href='/digital-beehive/toc/toc2_431/'>Full Page</a>,The entry number and topic are illegible due to damage. We have labeled this entry with the logical number in the sequence.,
num_3507,Volume 2,441,,4812,Life,4801-4825,,,,,<a href='/digital-beehive/index3/index_2283/'>life</a>,#item-4f17f11ae,,Entry: 4812|Topic: Life|Index: life|#item-4f17f11ae,"https://stacks.stanford.edu/image/iiif/fm855tg5659/1607_0908/630,986,2773,334/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/fm855tg5659/1607_0908/full/full/0/default.jpg,http://beehive-anno.library.upenn.edu/annotation/1680284559532,244110986,,"https://stacks.stanford.edu/image/iiif/fm855tg5659/1607_0908/630,986,600,180/250,/0/default.jpg",4812. Life,<a href='/digital-beehive/toc/toc2_431/'>Full Page</a>,,
num_3508,Volume 2,441,,4813,Friendship,4801-4825,,,,,<a href='/digital-beehive/index2/index_1546/'>friendship</a>,#item-4196cb330,,Entry: 4813|Topic: Friendship|Index: friendship|#item-4196cb330,"https://stacks.stanford.edu/image/iiif/fm855tg5659/1607_0908/633,1926,2725,235/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/fm855tg5659/1607_0908/full/full/0/default.jpg,http://beehive-anno.library.upenn.edu/annotation/1680284613973,244111926,,"https://stacks.stanford.edu/image/iiif/fm855tg5659/1607_0908/633,1926,600,180/250,/0/default.jpg",4813. Friendship,<a href='/digital-beehive/toc/toc2_431/'>Full Page</a>,,
num_3509,Volume 2,441,,4814,Beauty,4801-4825,,,,,<a href='/digital-beehive/index1/index_0323/'>beauty</a>,#item-24dfc25cc,,Entry: 4814|Topic: Beauty|Index: beauty|#item-24dfc25cc,"https://stacks.stanford.edu/image/iiif/fm855tg5659/1607_0908/609,2964,2810,258/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/fm855tg5659/1607_0908/full/full/0/default.jpg,http://beehive-anno.library.upenn.edu/annotation/1680284646781,244112964,,"https://stacks.stanford.edu/image/iiif/fm855tg5659/1607_0908/609,2964,600,180/250,/0/default.jpg",4814. Beauty,<a href='/digital-beehive/toc/toc2_431/'>Full Page</a>,,
num_3510,Volume 2,441,,4815,Time,4801-4825,,,<a href='/digital-beehive/num9/num_2994/'>2059 [Time]</a>,,<a href='/digital-beehive/index5/index_4154/'>time</a>,#item-27d79e2ec,,Entry: 4815|Topic: Time|Xref: 2059 [Time]|Index: time|#item-27d79e2ec,"https://stacks.stanford.edu/image/iiif/fm855tg5659/1607_0908/582,3847,2858,271/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/fm855tg5659/1607_0908/full/full/0/default.jpg,http://beehive-anno.library.upenn.edu/annotation/1680284711057,244113847,,"https://stacks.stanford.edu/image/iiif/fm855tg5659/1607_0908/582,3847,600,180/250,/0/default.jpg",4815. Time,<a href='/digital-beehive/toc/toc2_431/'>Full Page</a>,,<a href='/digital-beehive/num11/num_3511/'>Sir Roger de Coverly</a>
num_3511,Volume 2,441,,4815,Sir Roger de Coverly,4801-4825,,,,,[NOT_IN_INDEX],#item-3beeec135,,Entry: 4815|Topic: Sir Roger de Coverly|Index: [NOT_IN_INDEX]|#item-3beeec135,"https://stacks.stanford.edu/image/iiif/fm855tg5659/1607_0908/569,4419,2850,432/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/fm855tg5659/1607_0908/full/full/0/default.jpg,http://beehive-anno.library.upenn.edu/annotation/1680284912771,244114419,,"https://stacks.stanford.edu/image/iiif/fm855tg5659/1607_0908/569,4419,600,180/250,/0/default.jpg",4815. Sir Roger de Coverly,<a href='/digital-beehive/toc/toc2_431/'>Full Page</a>,,<a href='/digital-beehive/num11/num_3510/'>Time</a>
num_3512,Volume 2,442,,4816,Lying,4801-4825,,,,,<a href='/digital-beehive/index3/index_2281/'>lie</a>,#item-d6572bc7f,,Entry: 4816|Topic: Lying|Index: lie|#item-d6572bc7f,"https://stacks.stanford.edu/image/iiif/fm855tg5659/1607_0909/801,221,1611,270/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/fm855tg5659/1607_0909/full/full/0/default.jpg,http://beehive-anno.library.upenn.edu/annotation/1680284971649,244210221,,"https://stacks.stanford.edu/image/iiif/fm855tg5659/1607_0909/801,221,600,180/250,/0/default.jpg",4816. Lying,<a href='/digital-beehive/toc/toc2_432/'>Full Page</a>,"Damage obfuscates this entry number and topic, but there is enough context and visibility to determine them.",
num_3513,Volume 2,442,,4817,Bad man,4801-4825,,,,,<a href='/digital-beehive/index3/index_2405/'>bad & base man</a>,#item-7f6bd2099,,Entry: 4817|Topic: Bad man|Index: bad & base man|#item-7f6bd2099,"https://stacks.stanford.edu/image/iiif/fm855tg5659/1607_0909/695,1076,2768,253/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/fm855tg5659/1607_0909/full/full/0/default.jpg,http://beehive-anno.library.upenn.edu/annotation/1680285045506,244211076,,"https://stacks.stanford.edu/image/iiif/fm855tg5659/1607_0909/695,1076,600,180/250,/0/default.jpg",4817. Bad man,<a href='/digital-beehive/toc/toc2_432/'>Full Page</a>,,
num_3514,Volume 2,442,,4818,Pride,4801-4825,,,,,<a href='/digital-beehive/index4/index_3151/'>pride</a>,#item-829153cc9,,Entry: 4818|Topic: Pride|Index: pride|#item-829153cc9,"https://stacks.stanford.edu/image/iiif/fm855tg5659/1607_0909/696,1951,2737,278/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/fm855tg5659/1607_0909/full/full/0/default.jpg,http://beehive-anno.library.upenn.edu/annotation/1680285103724,244211951,,"https://stacks.stanford.edu/image/iiif/fm855tg5659/1607_0909/696,1951,600,180/250,/0/default.jpg",4818. Pride,<a href='/digital-beehive/toc/toc2_432/'>Full Page</a>,,
num_3515,Volume 2,442,,4819,Virtue,4801-4825,,,,,<a href='/digital-beehive/index5/index_4319/'>vertue</a>,#item-5abbf893b,,Entry: 4819|Topic: Virtue|Index: vertue|#item-5abbf893b,"https://stacks.stanford.edu/image/iiif/fm855tg5659/1607_0909/726,2847,2717,282/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/fm855tg5659/1607_0909/full/full/0/default.jpg,http://beehive-anno.library.upenn.edu/annotation/1680285144994,244212847,,"https://stacks.stanford.edu/image/iiif/fm855tg5659/1607_0909/726,2847,600,180/250,/0/default.jpg",4819. Virtue,<a href='/digital-beehive/toc/toc2_432/'>Full Page</a>,,
