pid,volume,image,pastorius_page_numbers,older_pastorius_page_numbers,type,secondary_type,toc_title,toc_link,section_title,secondary_section_title,tertiary_section_title,pastorius_section_header,pastorius_description,contents,notes,first_entry,last_entry,order,thumbnail,full,notes_DONOTUSE
toc2_223,2,233,,,Alvearium,,,,Numerical,Alphabetical Section Additions,,,,,,1146,1150,223,"https://stacks.stanford.edu/image/iiif/fm855tg5659%2F1607_0700/full/100,/0/default.jpg",https://stacks.stanford.edu/image/iiif/fm855tg5659%2F1607_0700/full/full/0/default.jpg,
toc2_224,2,234,,,Alvearium,,,,Numerical,Alphabetical Section Additions,,,,,,1151,1155,224,"https://stacks.stanford.edu/image/iiif/fm855tg5659%2F1607_0701/full/100,/0/default.jpg",https://stacks.stanford.edu/image/iiif/fm855tg5659%2F1607_0701/full/full/0/default.jpg,
toc2_225,2,235,,,Alvearium,,,,Numerical,Alphabetical Section Additions,,,,,,1156,1160,225,"https://stacks.stanford.edu/image/iiif/fm855tg5659%2F1607_0702/full/100,/0/default.jpg",https://stacks.stanford.edu/image/iiif/fm855tg5659%2F1607_0702/full/full/0/default.jpg,
toc2_226,2,236,,,Alvearium,,,,Numerical,Alphabetical Section Additions,,,,,,1161,1165,226,"https://stacks.stanford.edu/image/iiif/fm855tg5659%2F1607_0703/full/100,/0/default.jpg",https://stacks.stanford.edu/image/iiif/fm855tg5659%2F1607_0703/full/full/0/default.jpg,
toc2_227,2,237,,,Alvearium,,,,Numerical,Alphabetical Section Additions,,,,,,1166,1170,227,"https://stacks.stanford.edu/image/iiif/fm855tg5659%2F1607_0704/full/100,/0/default.jpg",https://stacks.stanford.edu/image/iiif/fm855tg5659%2F1607_0704/full/full/0/default.jpg,
toc2_228,2,238,,,Alvearium,,,,Numerical,Alphabetical Section Additions,,,,,,1171,1175,228,"https://stacks.stanford.edu/image/iiif/fm855tg5659%2F1607_0705/full/100,/0/default.jpg",https://stacks.stanford.edu/image/iiif/fm855tg5659%2F1607_0705/full/full/0/default.jpg,
toc2_229,2,239,,,Alvearium,,,,Numerical,Alphabetical Section Additions,,,,,,1176,1180,229,"https://stacks.stanford.edu/image/iiif/fm855tg5659%2F1607_0706/full/100,/0/default.jpg",https://stacks.stanford.edu/image/iiif/fm855tg5659%2F1607_0706/full/full/0/default.jpg,
toc2_230,2,240,,,Alvearium,,,,Numerical,Alphabetical Section Additions,,,,,,1181,1185,230,"https://stacks.stanford.edu/image/iiif/fm855tg5659%2F1607_0707/full/100,/0/default.jpg",https://stacks.stanford.edu/image/iiif/fm855tg5659%2F1607_0707/full/full/0/default.jpg,
toc2_231,2,241,,,Alvearium,,,,Numerical,Alphabetical Section Additions,,,,,Entry 1190 is cancelled.,1186,1190,231,"https://stacks.stanford.edu/image/iiif/fm855tg5659%2F1607_0708/full/100,/0/default.jpg",https://stacks.stanford.edu/image/iiif/fm855tg5659%2F1607_0708/full/full/0/default.jpg,
toc2_232,2,242,,,Alvearium,,,,Numerical,Alphabetical Section Additions,,,,,,1191,1195,232,"https://stacks.stanford.edu/image/iiif/fm855tg5659%2F1607_0709/full/100,/0/default.jpg",https://stacks.stanford.edu/image/iiif/fm855tg5659%2F1607_0709/full/full/0/default.jpg,
toc2_233,2,243,,,Alvearium,,,,Numerical,Alphabetical Section Additions,,,,,,1196,1200,233,"https://stacks.stanford.edu/image/iiif/fm855tg5659%2F1607_0710/full/100,/0/default.jpg",https://stacks.stanford.edu/image/iiif/fm855tg5659%2F1607_0710/full/full/0/default.jpg,
toc2_234,2,244,,,Alvearium,,,,Numerical,Alphabetical Section Additions,,,,,,1201,1205,234,"https://stacks.stanford.edu/image/iiif/fm855tg5659%2F1607_0711/full/100,/0/default.jpg",https://stacks.stanford.edu/image/iiif/fm855tg5659%2F1607_0711/full/full/0/default.jpg,
toc2_235,2,245,,,Alvearium,,,,Numerical,Alphabetical Section Additions,,,,,,1206,1210,235,"https://stacks.stanford.edu/image/iiif/fm855tg5659%2F1607_0712/full/100,/0/default.jpg",https://stacks.stanford.edu/image/iiif/fm855tg5659%2F1607_0712/full/full/0/default.jpg,
