pid,volume,image,type,toc_title,toc_link,section_title,pastorius_section_header,pastorius_description,contents,First entry,Last entry,order,thumbnail,full,notes_DONOTUSE
toc3_69,3,69,The Book's Physical Properties,,,,,,Original Folio Bee-Hive Spine,,,69,"https://stacks.stanford.edu/image/iiif/gw497tq8651%2F1607_1012/full/100,/0/default.jpg",https://stacks.stanford.edu/image/iiif/gw497tq8651%2F1607_1012/full/full/0/default.jpg,
toc3_70,3,70,The Book's Physical Properties,,,,,,Original Folio Bee-Hive Exterior Flap Closure,,,70,"https://stacks.stanford.edu/image/iiif/gw497tq8651%2F1607_1013/full/100,/0/default.jpg",https://stacks.stanford.edu/image/iiif/gw497tq8651%2F1607_1013/full/full/0/default.jpg,
toc3_71,3,71,The Book's Physical Properties,,,,,,"Original Folio Bee-Hive Front Cover (Under Interior Flap). It reads: ""This Book saith that to my two Sons - / Part not with Me, I am excellently good, / If rightly read, and rightly Understood.""",,,71,"https://stacks.stanford.edu/image/iiif/gw497tq8651%2F1607_1014/full/100,/0/default.jpg",https://stacks.stanford.edu/image/iiif/gw497tq8651%2F1607_1014/full/full/0/default.jpg,
toc3_72,3,72,The Book's Physical Properties,,,,,,Octavo Alvearium Index Spine,,,72,"https://stacks.stanford.edu/image/iiif/gw497tq8651%2F1607_1015/full/100,/0/default.jpg",https://stacks.stanford.edu/image/iiif/gw497tq8651%2F1607_1015/full/full/0/default.jpg,
toc3_73,3,73,The Book's Physical Properties,,,,,,Original Folio Bee-Hive Front Cover (Interior Flap Partially Extended),,,73,"https://stacks.stanford.edu/image/iiif/gw497tq8651%2F1607_1016/full/100,/0/default.jpg",https://stacks.stanford.edu/image/iiif/gw497tq8651%2F1607_1016/full/full/0/default.jpg,
toc3_74,3,74,The Book's Physical Properties,,,,,,Original Folio Bee-Hive Front Cover (Interior Flap Folded Down),,,74,"https://stacks.stanford.edu/image/iiif/gw497tq8651%2F1607_1017/full/100,/0/default.jpg",https://stacks.stanford.edu/image/iiif/gw497tq8651%2F1607_1017/full/full/0/default.jpg,
toc3_75,3,75,The Book's Physical Properties,,,,,,Bee-Hive 1952 Binding (Single Volume Bound as Two) Spine,,,75,"https://stacks.stanford.edu/image/iiif/gw497tq8651%2F1607_1018/full/100,/0/default.jpg",https://stacks.stanford.edu/image/iiif/gw497tq8651%2F1607_1018/full/full/0/default.jpg,
toc3_76,3,76,The Book's Physical Properties,,,,,,Bee-Hive 1952 Binding (Single Volume Bound as Two) Spine & Original Folio Bee-Hive Spine,,,76,"https://stacks.stanford.edu/image/iiif/gw497tq8651%2F1607_1019/full/100,/0/default.jpg",https://stacks.stanford.edu/image/iiif/gw497tq8651%2F1607_1019/full/full/0/default.jpg,
toc3_77,3,77,The Book's Physical Properties,,,,,,Photograph of Bee-Hive Before Re-Binding 1,,,77,"https://stacks.stanford.edu/image/iiif/gw497tq8651%2F1607_1020/full/100,/0/default.jpg",https://stacks.stanford.edu/image/iiif/gw497tq8651%2F1607_1020/full/full/0/default.jpg,
toc3_78,3,78,The Book's Physical Properties,,,,,,Photograph of Bee-Hive Before Re-Binding 2,,,78,"https://stacks.stanford.edu/image/iiif/gw497tq8651%2F1607_1021/full/100,/0/default.jpg",https://stacks.stanford.edu/image/iiif/gw497tq8651%2F1607_1021/full/full/0/default.jpg,
toc3_79,3,79,The Book's Physical Properties,,,,,,Photograph of Bee-Hive Before Re-Binding 3,,,79,"https://stacks.stanford.edu/image/iiif/gw497tq8651%2F1607_1022/full/100,/0/default.jpg",https://stacks.stanford.edu/image/iiif/gw497tq8651%2F1607_1022/full/full/0/default.jpg,
toc3_80,3,80,The Book's Physical Properties,,,,,,Photograph of Bee-Hive Before Re-Binding 4,,,80,"https://stacks.stanford.edu/image/iiif/gw497tq8651%2F1607_1023/full/100,/0/default.jpg",https://stacks.stanford.edu/image/iiif/gw497tq8651%2F1607_1023/full/full/0/default.jpg,
toc3_81,3,81,The Book's Physical Properties,,,,,,Photograph of Bee-Hive Before Re-Binding 5,,,81,"https://stacks.stanford.edu/image/iiif/gw497tq8651%2F1607_1024/full/100,/0/default.jpg",https://stacks.stanford.edu/image/iiif/gw497tq8651%2F1607_1024/full/full/0/default.jpg,
toc3_82,3,82,The Book's Physical Properties,,,,,,Photograph of Bee-Hive Before Re-Binding 6,,,82,"https://stacks.stanford.edu/image/iiif/gw497tq8651%2F1607_1025/full/100,/0/default.jpg",https://stacks.stanford.edu/image/iiif/gw497tq8651%2F1607_1025/full/full/0/default.jpg,
