pid,volume,image_number,head,entry,topic,first_letter,page,add,xref,see,index,item,unparsed,line,selection,full_image,annotation_uri,insertion,thumbnail,label,location,issue,insertion_xref
index_2198,Volume 3,27,Korb,,,K,,,,<a href='/digital-beehive/index1/index_1000/'>denial</a>,,#item-bf8c26ff0,,Head: Korb|See: denial|#item-bf8c26ff0,"https://stacks.stanford.edu/image/iiif/gw497tq8651/1607_0970/842,2762,439,98/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/gw497tq8651/1607_0970/full/full/0/default.jpg,http://dev.llgc.org.uk/annotation/1559831720844,,"https://stacks.stanford.edu/image/iiif/gw497tq8651/1607_0970/842,2762,439,98/150,/0/default.jpg",Korb,<a href='/digital-beehive/toc/toc3_27/'>Full Page</a>,"It is unclear why Pastorius links ""Korb"" with ""denial.""",
index_2199,Volume 3,27,Kropf,<a href='/digital-beehive/num3/num_0957/'>681 [Wen]</a>,,K,,,,,,#item-c389406e2,,Head: Kropf|Entry: 681 [Wen]|#item-c389406e2,"https://stacks.stanford.edu/image/iiif/gw497tq8651/1607_0970/826,2781,326,122/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/gw497tq8651/1607_0970/full/full/0/default.jpg,http://dev.llgc.org.uk/annotation/1559831874567,,"https://stacks.stanford.edu/image/iiif/gw497tq8651/1607_0970/826,2781,326,122/150,/0/default.jpg",Kropf,<a href='/digital-beehive/toc/toc3_27/'>Full Page</a>,,
index_2200,Volume 3,27,latton,<a href='/digital-beehive/num8/num_2922/'>1992 [Latton]</a>,,L,,,,,,#item-92d2ba5a2,,Head: latton|Entry: 1992 [Latton]|#item-92d2ba5a2,"https://stacks.stanford.edu/image/iiif/gw497tq8651/1607_0970/1546,2783,423,114/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/gw497tq8651/1607_0970/full/full/0/default.jpg,http://dev.llgc.org.uk/annotation/1559836612193,,"https://stacks.stanford.edu/image/iiif/gw497tq8651/1607_0970/1546,2783,423,114/150,/0/default.jpg",latton,<a href='/digital-beehive/toc/toc3_27/'>Full Page</a>,,
index_2201,Volume 3,27,latin,<a href='/digital-beehive/alpha3/alpha_0520/'>a</a>|<a href='/digital-beehive/num11/num_3519/'>4825 [Latin]</a>,,L,,,,,,#item-229c00e23,,Head: latin|Entry: a|Entry: 4825 [Latin]|#item-229c00e23,"https://stacks.stanford.edu/image/iiif/gw497tq8651/1607_0970/1528,2825,495,119/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/gw497tq8651/1607_0970/full/full/0/default.jpg,http://dev.llgc.org.uk/annotation/1559836664349,,"https://stacks.stanford.edu/image/iiif/gw497tq8651/1607_0970/1528,2825,495,119/150,/0/default.jpg",latin,<a href='/digital-beehive/toc/toc3_27/'>Full Page</a>,,
index_2202,Volume 3,27,justs,<a href='/digital-beehive/num6/num_1861/'>1325 [a Tournament]</a>,,I/J,,,,,,#item-4478bd418,,Head: justs|Entry: 1325 [a Tournament]|#item-4478bd418,"https://stacks.stanford.edu/image/iiif/gw497tq8651/1607_0970/137,2849,353,128/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/gw497tq8651/1607_0970/full/full/0/default.jpg,http://dev.llgc.org.uk/annotation/1559759377341,,"https://stacks.stanford.edu/image/iiif/gw497tq8651/1607_0970/137,2849,353,128/150,/0/default.jpg",justs,<a href='/digital-beehive/toc/toc3_27/'>Full Page</a>,,
index_2203,Volume 3,27,Labour,<a href='/digital-beehive/alpha3/alpha_0508/'>a</a>|<a href='/digital-beehive/num4/num_1265/'>948 [Labour]</a>|4725 [PAGE_MISSING],,L,,,,,,#item-9e1081349,,Head: Labour|Entry: a|Entry: 948 [Labour]|Entry: 4725 [PAGE_MISSING]|#item-9e1081349,"https://stacks.stanford.edu/image/iiif/gw497tq8651/1607_0970/819,2865,655,158/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/gw497tq8651/1607_0970/full/full/0/default.jpg,http://dev.llgc.org.uk/annotation/1559832004205,,"https://stacks.stanford.edu/image/iiif/gw497tq8651/1607_0970/819,2865,655,158/150,/0/default.jpg",Labour,<a href='/digital-beehive/toc/toc3_27/'>Full Page</a>,,
index_2204,Volume 3,27,latin chimical,<a href='/digital-beehive/num5/num_1363/'>1020 [Chimical Latin]</a>,,L,,,,,,#item-d5adab8ff,,Head: latin chimical|Entry: 1020 [Chimical Latin]|#item-d5adab8ff,"https://stacks.stanford.edu/image/iiif/gw497tq8651/1607_0970/1503,2916,548,124/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/gw497tq8651/1607_0970/full/full/0/default.jpg,http://dev.llgc.org.uk/annotation/1559836739247,,"https://stacks.stanford.edu/image/iiif/gw497tq8651/1607_0970/1503,2916,548,124/150,/0/default.jpg",latin chimical,<a href='/digital-beehive/toc/toc3_27/'>Full Page</a>,,
index_2205,Volume 3,27,labourers,4608 [PAGE_MISSING],,L,,,,,,#item-8bce1e586,,Head: labourers|Entry: 4608 [PAGE_MISSING]|#item-8bce1e586,"https://stacks.stanford.edu/image/iiif/gw497tq8651/1607_0970/838,2950,509,101/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/gw497tq8651/1607_0970/full/full/0/default.jpg,http://dev.llgc.org.uk/annotation/1559832035621,,"https://stacks.stanford.edu/image/iiif/gw497tq8651/1607_0970/838,2950,509,101/150,/0/default.jpg",labourers,<a href='/digital-beehive/toc/toc3_27/'>Full Page</a>,,
index_2206,Volume 3,27,ivy,<a href='/digital-beehive/num7/num_2509/'>1646 [Ivy]</a>,,I/J,<a href='/digital-beehive/toc/toc1_083/'>p.33 [Image 1.93]</a>,,,,,#item-497758b3d,,Head: ivy|Page: p.33 [Image 1.93]|Entry: 1646 [Ivy]|#item-497758b3d,"https://stacks.stanford.edu/image/iiif/gw497tq8651/1607_0970/130,2999,466,153/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/gw497tq8651/1607_0970/full/full/0/default.jpg,http://dev.llgc.org.uk/annotation/1559759441380,,"https://stacks.stanford.edu/image/iiif/gw497tq8651/1607_0970/130,2999,466,153/150,/0/default.jpg",ivy,<a href='/digital-beehive/toc/toc3_27/'>Full Page</a>,,
index_2207,Volume 3,27,labyrinth,<a href='/digital-beehive/num3/num_0733/'>574 [Labyrinth or Maze]</a>,,L,<a href='/digital-beehive/toc/toc1_087/'>p.37 [Image 1.97]</a>,,,,,#item-e71b77f50,,Head: labyrinth|Page: p.37 [Image 1.97]|Entry: 574 [Labyrinth or Maze]|#item-e71b77f50,"https://stacks.stanford.edu/image/iiif/gw497tq8651/1607_0970/826,3005,575,166/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/gw497tq8651/1607_0970/full/full/0/default.jpg,http://dev.llgc.org.uk/annotation/1559832136029,,"https://stacks.stanford.edu/image/iiif/gw497tq8651/1607_0970/826,3005,575,166/150,/0/default.jpg",labyrinth,<a href='/digital-beehive/toc/toc3_27/'>Full Page</a>,,
index_2208,Volume 3,27,latin English,<a href='/digital-beehive/num5/num_1355/'>1015 [Some English Latin]</a>,,L,,,,,,#item-7b42a65fe,,Head: latin English|Entry: 1015 [Some English Latin]|#item-7b42a65fe,"https://stacks.stanford.edu/image/iiif/gw497tq8651/1607_0970/1507,3020,491,134/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/gw497tq8651/1607_0970/full/full/0/default.jpg,http://dev.llgc.org.uk/annotation/1559836790573,,"https://stacks.stanford.edu/image/iiif/gw497tq8651/1607_0970/1507,3020,491,134/150,/0/default.jpg",latin English,<a href='/digital-beehive/toc/toc3_27/'>Full Page</a>,,
index_2209,Volume 3,27,Lavender,<a href='/digital-beehive/num8/num_2856/'>1938 [Lavender]</a>,,L,,,,,,#item-37a8f986f,,Head: Lavender|Entry: 1938 [Lavender]|#item-37a8f986f,"https://stacks.stanford.edu/image/iiif/gw497tq8651/1607_0970/1533,3107,476,108/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/gw497tq8651/1607_0970/full/full/0/default.jpg,http://dev.llgc.org.uk/annotation/1559836910585,,"https://stacks.stanford.edu/image/iiif/gw497tq8651/1607_0970/1533,3107,476,108/150,/0/default.jpg",Lavender,<a href='/digital-beehive/toc/toc3_27/'>Full Page</a>,,
index_2210,Volume 3,27,Lacedemonians & Laconism,<a href='/digital-beehive/num1/num_0002/'>2 [Laconism]</a>|<a href='/digital-beehive/num5/num_1594/'>1169 [Laconism]</a>,,L,,,,,,#item-da0925928,,Head: Lacedemonians & Laconism|Entry: 2 [Laconism]|Entry: 1169 [Laconism]|#item-da0925928,"https://stacks.stanford.edu/image/iiif/gw497tq8651/1607_0970/825,3132,701,213/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/gw497tq8651/1607_0970/full/full/0/default.jpg,http://dev.llgc.org.uk/annotation/1559832308714,,"https://stacks.stanford.edu/image/iiif/gw497tq8651/1607_0970/825,3132,701,213/150,/0/default.jpg",Lacedemonians & Laconism,<a href='/digital-beehive/toc/toc3_27/'>Full Page</a>,,
index_2211,Volume 3,27,Laver,<a href='/digital-beehive/num8/num_2799/'>1908 [Laver]</a>,,L,,,,,,#item-752427d2d,,Head: Laver|Entry: 1908 [Laver]|#item-752427d2d,"https://stacks.stanford.edu/image/iiif/gw497tq8651/1607_0970/1524,3156,428,106/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/gw497tq8651/1607_0970/full/full/0/default.jpg,http://dev.llgc.org.uk/annotation/1559836982167,,"https://stacks.stanford.edu/image/iiif/gw497tq8651/1607_0970/1524,3156,428,106/150,/0/default.jpg",Laver,<a href='/digital-beehive/toc/toc3_27/'>Full Page</a>,,
index_2212,Volume 3,27,Geo. Keith,<a href='/digital-beehive/num5/num_1394/'>1042 [George Keith]</a>,,K,,,,,,#item-4c77a0a5a,,Head: Geo. Keith|Entry: 1042 [George Keith]|#item-4c77a0a5a,"https://stacks.stanford.edu/image/iiif/gw497tq8651/1607_0970/100,3202,551,158/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/gw497tq8651/1607_0970/full/full/0/default.jpg,http://dev.llgc.org.uk/annotation/1559759525539,,"https://stacks.stanford.edu/image/iiif/gw497tq8651/1607_0970/100,3202,551,158/150,/0/default.jpg",Geo. Keith,<a href='/digital-beehive/toc/toc3_27/'>Full Page</a>,,
index_2213,Volume 3,27,laughter,<a href='/digital-beehive/alpha3/alpha_0522/'>a</a>|<a href='/digital-beehive/num6/num_1738/'>1254 [Laughter]</a>|4557 [PAGE_MISSING],,L,,,,,,#item-6cc37d3b8,,Head: laughter|Entry: a|Entry: 1254 [Laughter]|Entry: 4557 [PAGE_MISSING]|#item-6cc37d3b8,"https://stacks.stanford.edu/image/iiif/gw497tq8651/1607_0970/1526,3211,700,176/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/gw497tq8651/1607_0970/full/full/0/default.jpg,http://dev.llgc.org.uk/annotation/1559837062277,,"https://stacks.stanford.edu/image/iiif/gw497tq8651/1607_0970/1526,3211,700,176/150,/0/default.jpg",laughter,<a href='/digital-beehive/toc/toc3_27/'>Full Page</a>,,
index_2214,Volume 3,27,laces,4584 [PAGE_MISSING],,L,,,,,,#item-afac99085,,Head: laces|Entry: 4584 [PAGE_MISSING]|#item-afac99085,"https://stacks.stanford.edu/image/iiif/gw497tq8651/1607_0970/831,3244,379,124/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/gw497tq8651/1607_0970/full/full/0/default.jpg,http://dev.llgc.org.uk/annotation/1559832349223,,"https://stacks.stanford.edu/image/iiif/gw497tq8651/1607_0970/831,3244,379,124/150,/0/default.jpg",laces,<a href='/digital-beehive/toc/toc3_27/'>Full Page</a>,,
index_2215,Volume 3,27,ladder,<a href='/digital-beehive/num5/num_1646/'>1206 [Ladder]</a>,,L,,,,,,#item-e151cccf6,,Head: ladder|Entry: 1206 [Ladder]|#item-e151cccf6,"https://stacks.stanford.edu/image/iiif/gw497tq8651/1607_0970/802,3300,400,100/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/gw497tq8651/1607_0970/full/full/0/default.jpg,http://dev.llgc.org.uk/annotation/1559832406959,,"https://stacks.stanford.edu/image/iiif/gw497tq8651/1607_0970/802,3300,400,100/150,/0/default.jpg",ladder,<a href='/digital-beehive/toc/toc3_27/'>Full Page</a>,,
