pid,volume,image_number,head,entry,topic,first_letter,page,add,xref,see,index,item,unparsed,line,selection,full_image,annotation_uri,sort_value,insertion,thumbnail,label,location,issue,insertion_xref
index_0021,Volume 3,7,[:21.],,,A,,,,,,#item-4f1a94c31,Type: Index|Insertion Xref: [:21.]|#item-4f1a94c31,Type: Index|Insertion Xref: [:21.]|#item-4f1a94c31,"https://stacks.stanford.edu/image/iiif/gw497tq8651/1607_0950/744,1866,178,101/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/gw497tq8651/1607_0950/full/full/0/default.jpg,http://dev.llgc.org.uk/annotation/1558817107764,300711866,,"https://stacks.stanford.edu/image/iiif/gw497tq8651/1607_0950/744,1866,178,101/150,/0/default.jpg",[:21.],<a href='/digital-beehive/toc/toc3_07/'>Full Page</a>,,<a href='/digital-beehive/index5/index_4685/'>Abyssines</a>|<a href='/digital-beehive/index5/index_4686/'>abyss</a>
index_0022,Volume 3,7,accent,844 [PAGE_MISSING],,A,,,,,,#item-829b737da,,Head: accent|Entry: 844 [PAGE_MISSING]|#item-829b737da,"https://stacks.stanford.edu/image/iiif/gw497tq8651/1607_0950/181,1925,517,98/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/gw497tq8651/1607_0950/full/full/0/default.jpg,http://dev.llgc.org.uk/annotation/1564759528817,300711925,,"https://stacks.stanford.edu/image/iiif/gw497tq8651/1607_0950/181,1925,517,98/150,/0/default.jpg",accent,<a href='/digital-beehive/toc/toc3_07/'>Full Page</a>,,
index_0023,Volume 3,7,acceptable,<a href='/digital-beehive/num4/num_1145/'>889 [Agreable]</a>|<a href='/digital-beehive/num6/num_2028/'>1408 [Acceptable]</a>,,A,,,,,,#item-f13e2445f,,Head: acceptable|Entry: 889 [Agreable]|Entry: 1408 [Acceptable]|#item-f13e2445f,"https://stacks.stanford.edu/image/iiif/gw497tq8651/1607_0950/185,1963,706,131/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/gw497tq8651/1607_0950/full/full/0/default.jpg,http://dev.llgc.org.uk/annotation/1564759585650,300711963,,"https://stacks.stanford.edu/image/iiif/gw497tq8651/1607_0950/185,1963,706,131/150,/0/default.jpg",acceptable,<a href='/digital-beehive/toc/toc3_07/'>Full Page</a>,,
index_0024,Volume 3,7,accessary,<a href='/digital-beehive/num6/num_1978/'>1384 [Alliance]</a>|<a href='/digital-beehive/num6/num_1979/'>1384 [Assistant]</a>,,A,,,,,,#item-98fb0cd50,,Head: accessary|Entry: 1384 [Alliance]|Entry: 1384 [Assistant]|#item-98fb0cd50,"https://stacks.stanford.edu/image/iiif/gw497tq8651/1607_0950/185,2091,594,106/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/gw497tq8651/1607_0950/full/full/0/default.jpg,http://dev.llgc.org.uk/annotation/1491191366719,300712091,,"https://stacks.stanford.edu/image/iiif/gw497tq8651/1607_0950/185,2091,594,106/150,/0/default.jpg",accessary,<a href='/digital-beehive/toc/toc3_07/'>Full Page</a>,,
index_0025,Volume 3,7,accident,<a href='/digital-beehive/num3/num_0705/'>555 [Accident]</a>|<a href='/digital-beehive/num10/num_3472/'>4484 [Accident]</a>,,A,,,,,,#item-530c6efcc,,Head: accident|Entry: 555 [Accident]|Entry: 4484 [Accident]|#item-530c6efcc,"https://stacks.stanford.edu/image/iiif/gw497tq8651/1607_0950/186,2172,680,134/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/gw497tq8651/1607_0950/full/full/0/default.jpg,http://dev.llgc.org.uk/annotation/1564759719484,300712172,,"https://stacks.stanford.edu/image/iiif/gw497tq8651/1607_0950/186,2172,680,134/150,/0/default.jpg",accident,<a href='/digital-beehive/toc/toc3_07/'>Full Page</a>,,
index_0026,Volume 3,7,according,<a href='/digital-beehive/num6/num_1953/'>1372 [According]</a>,,A,,,,,,#item-732d0f725,,Head: according|Entry: 1372 [According]|#item-732d0f725,"https://stacks.stanford.edu/image/iiif/gw497tq8651/1607_0950/177,2274,529,165/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/gw497tq8651/1607_0950/full/full/0/default.jpg,http://dev.llgc.org.uk/annotation/1564759759395,300712274,,"https://stacks.stanford.edu/image/iiif/gw497tq8651/1607_0950/177,2274,529,165/150,/0/default.jpg",according,<a href='/digital-beehive/toc/toc3_07/'>Full Page</a>,,
index_0027,Volume 3,7,account,<a href='/digital-beehive/num1/num_0057/'>56 [Account]</a>,,A,,,,,,#item-3d871be17,,Head: account|Entry: 56 [Account]|#item-3d871be17,"https://stacks.stanford.edu/image/iiif/gw497tq8651/1607_0950/171,2409,511,109/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/gw497tq8651/1607_0950/full/full/0/default.jpg,http://dev.llgc.org.uk/annotation/1491191420803,300712409,,"https://stacks.stanford.edu/image/iiif/gw497tq8651/1607_0950/171,2409,511,109/150,/0/default.jpg",account,<a href='/digital-beehive/toc/toc3_07/'>Full Page</a>,,
index_0028,Volume 3,7,accurate,<a href='/digital-beehive/num1/num_0153/'>147 [Exactness]</a>,,A,,,,,,#item-25553776f,,Head: accurate|Entry: 147 [Exactness]|#item-25553776f,"https://stacks.stanford.edu/image/iiif/gw497tq8651/1607_0950/176,2524,537,93/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/gw497tq8651/1607_0950/full/full/0/default.jpg,http://dev.llgc.org.uk/annotation/1491191433131,300712524,,"https://stacks.stanford.edu/image/iiif/gw497tq8651/1607_0950/176,2524,537,93/150,/0/default.jpg",accurate,<a href='/digital-beehive/toc/toc3_07/'>Full Page</a>,,
index_0029,Volume 3,7,accusation,<a href='/digital-beehive/num2/num_0313/'>278 [Accusation]</a>|<a href='/digital-beehive/num4/num_1207/'>915 [Accusation]</a>|<a href='/digital-beehive/num7/num_2543/'>1660 [Accuses]</a>,,A,,,,,,#item-6c1b72b6c,,Head: accusation|Entry: 278 [Accusation]|Entry: 915 [Accusation]|Entry: 1660 [Accuses]|#item-6c1b72b6c,"https://stacks.stanford.edu/image/iiif/gw497tq8651/1607_0950/167,2606,766,137/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/gw497tq8651/1607_0950/full/full/0/default.jpg,http://dev.llgc.org.uk/annotation/1564759857732,300712606,,"https://stacks.stanford.edu/image/iiif/gw497tq8651/1607_0950/167,2606,766,137/150,/0/default.jpg",accusation,<a href='/digital-beehive/toc/toc3_07/'>Full Page</a>,,
index_0030,Volume 3,7,accustoming,<a href='/digital-beehive/num1/num_0132/'>127 [Accustoming]</a>|<a href='/digital-beehive/num4/num_1248/'>934 [Accustoming]</a>,,A,,,,,,#item-503202feb,,Head: accustoming|Entry: 127 [Accustoming]|Entry: 934 [Accustoming]|#item-503202feb,"https://stacks.stanford.edu/image/iiif/gw497tq8651/1607_0950/167,2697,703,172/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/gw497tq8651/1607_0950/full/full/0/default.jpg,http://dev.llgc.org.uk/annotation/1564759909901,300712697,,"https://stacks.stanford.edu/image/iiif/gw497tq8651/1607_0950/167,2697,703,172/150,/0/default.jpg",accustoming,<a href='/digital-beehive/toc/toc3_07/'>Full Page</a>,,
